period,quartiles,effect,lb,ub
-8,1,-5.463567813,-12.85471347,2.554450917
-7,1,-1.347340999,-5.293211112,2.762940391
-6,1,-2.411799852,-6.484398252,1.838159945
-5,1,0.057236374,-3.649461293,3.906544647
-4,1,-0.666945977,-4.262584751,3.06373528
-3,1,0.194939761,-3.697431916,4.244633902
-2,1,0.78063116,-2.729516654,4.41745824
-1,1,0,0,0
0,1,-0.567901309,-3.624618922,2.58577583
1,1,-0.520381301,-3.835757789,2.90929673
2,1,-2.614737907,-6.495712955,1.427320316
3,1,-4.035034132,-7.628925233,-0.301315132
4,1,-2.429003135,-6.662926586,1.996978061
5,1,-2.082353261,-6.883920083,2.966808218
6,1,-1.82859456,-6.923076471,3.544739602
7,1,-2.153630936,-7.207447254,3.175434404
8,1,-3.487504599,-8.013577376,1.261257601
9,1,-2.237224499,-7.278035525,3.077618901
10,1,-1.459386205,-6.447059372,3.794199326
-8,2,-7.825079098,-12.91243681,-2.440525589
-7,2,-3.961909771,-9.111145038,1.479051294
-6,2,-4.85740312,-8.083138789,-1.518463295
-5,2,-1.842838198,-6.159429297,2.672312635
-4,2,-4.560695927,-9.043107455,0.142611594
-3,2,-2.173090644,-6.46490757,2.315654431
-2,2,-0.413104367,-6.497713926,6.067457795
-1,2,0,0,0
0,2,3.374372789,-2.483900643,9.584592581
1,2,-3.632078088,-8.241164136,1.208524347
2,2,-2.120103027,-7.065728428,3.088710649
3,2,-1.347577766,-7.067085259,4.723933816
4,2,-1.194834479,-7.061490529,5.042138215
5,2,-0.651419007,-6.694254583,5.782784203
6,2,-0.563327327,-7.552308618,6.954005402
7,2,-3.854825267,-10.49449015,3.277380796
8,2,-2.486231249,-8.911780133,4.392588963
9,2,-0.904534251,-8.021432681,6.763038588
10,2,-3.233187832,-9.982689926,4.022392242
-8,3,-2.4719932,-13.06427209,9.410852581
-7,3,2.969176482,-4.972370516,11.57439476
-6,3,1.501084788,-6.482181906,10.16585313
-5,3,0.011430653,-7.456298094,8.08176089
-4,3,1.041475998,-6.219327377,8.864445169
-3,3,-0.716262525,-6.79594904,5.760001045
-2,3,1.864356088,-5.235289676,9.495897849
-1,3,0,0,0
0,3,4.546043915,-1.437241641,10.89253575
1,3,-0.077400031,-6.619243951,6.92272593
2,3,0.381586193,-6.591729928,7.875478598
3,3,3.43090301,-3.451286316,10.80366883
4,3,0.274746739,-6.203261372,7.200154084
5,3,2.735814555,-4.143211998,10.10851571
6,3,-1.618882926,-9.829521333,7.339390229
7,3,1.818435804,-7.574992498,12.16655737
8,3,2.201656493,-7.523395705,12.94941753
9,3,-6.351230825,-15.00111099,3.178901157
10,3,3.44455679,-6.66570799,14.64999733
-8,4,1.891771475,-12.43888681,18.56785183
-7,4,1.27118169,-9.246949583,13.00835861
-6,4,-2.427998149,-11.52418074,7.603361289
-5,4,1.98679927,-6.368638513,11.08785625
-4,4,-3.034340894,-11.22556752,5.912680524
-3,4,3.245101332,-5.060781081,12.27763479
-2,4,-0.206386729,-6.365895074,6.358310975
-1,4,0,0,0
0,4,-2.190208855,-8.858067798,4.965453946
1,4,3.685117085,-4.06824186,12.06511497
2,4,0.392207127,-6.747628859,8.078691412
3,4,1.032453397,-6.641802016,9.33753906
4,4,3.879096164,-5.646941673,14.36690967
5,4,-1.051829179,-10.6743138,9.607213175
6,4,8.27205484,-1.613176656,19.15047451
7,4,7.329322266,-4.018181204,20.01837859
8,4,7.567040526,-4.897991806,21.6658784
9,4,12.03132122,-2.747675358,29.05620227
10,4,11.19290613,-3.182062101,27.70217385